source_strategy,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,notes
category:Access Doors,B0DCYRC1QC,B0D2D96JQP,"Thicken 1mm 16 x 24 Access Panel for Drywall,Attic Door, Ceiling Access Panel for Drywall,16x24 Metal Access Panels are Thickened to 1mm to Solve The Problem of Fragile Panels(Screwdriver Latch)","['Tools & Home Improvement', 'hi']",US,43.68,12.23,3.49,14.2,0.15,891.0,318.0,4.5,0.55,10000,1.0,20.0,50,25.0,20,65,Imported from Sorftime; ASIN B0DCYRC1QC; parent B0D2D96JQP; brand Joogto
category:Access Doors,B0FX48XN1C,B0FFSBYMJV,"Thicken 1mm 20 x 20 Access Panel for Drywall,Attic Door, Ceiling Access Panel for Drywall,20 x 20 Metal Access Panels are Thickened to 1mm to Solve The Problem of Fragile Panels(Screwdriver Latch)","['Patio, Lawn & Garden', 'lawn-garden']",US,41.78,11.7,3.34,11.79,0.15,234.0,101.0,4.5,0.55,10000,1.0,20.0,50,25.0,20,65,Imported from Sorftime; ASIN B0FX48XN1C; parent B0FFSBYMJV; brand Fancat
category:Cooling Bins,B0FP1CQL5Q,B0G52GPMTH,"Wood Pellet Storage Container 20-25lbs, Airtight Bin with Locking Lid & Clear Window, Collapsible Pellet Bucket with Wheels, Scoop & Labels, Gray","['Patio, Lawn & Garden', 'lawn-garden']",US,29.99,8.4,2.4,8.89,0.15,384.0,39.0,4.3,0.55,10000,1.0,20.0,50,25.0,20,45,Imported from Sorftime; ASIN B0FP1CQL5Q; parent B0G52GPMTH; brand Leafory
category:Self-Stick Note Pad Holders,B0GF7L236Y,B0D1R58B5D,Motipuns 36 Pcs CNA Week Appreciation Gifts Bulk Colorful Sticky Notes Dispenser End of School Year Gifts Office Team Work Sticky Notes OPP Bags Set for Nurse Teacher Coworker Staff CNA Week,"['Office Products', 'office-products']",US,25.79,7.22,2.06,6.53,0.15,676.0,47.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,45,Imported from Sorftime; ASIN B0GF7L236Y; parent B0D1R58B5D; brand Motipuns
category:Self-Stick Note Pad Holders,B0BBR7D1BP,B0B7MTVF3Z,Eersida Rhinestone Self Stick Note Pad Holders 4 x 4 Inches Rose Gold Cute Note Holder Sticky Dispenser Bling Memo Stick Dispenser for Office Employee Coworkers Gifts Home Desk Supplies,"['Office Products', 'office-products']",US,14.99,4.2,1.2,4.45,0.15,580.0,684.0,4.0,0.55,10000,1.0,20.0,50,25.0,20,20.0,Imported from Sorftime; ASIN B0BBR7D1BP; parent B0B7MTVF3Z; brand Eersida
category:Self-Stick Note Pad Holders,B0GFD8R98T,B0D2ZPD9V2,Motipuns 36 Pcs End of Year Teacher Gift Sticky Note Holder Thank You Gift Sticky Note Pad Holder OPP Bags for Graduation Coworker Nurse Teacher Employee Appreciation Gifts (Pastel Color),"['Office Products', 'office-products']",US,24.79,6.94,1.98,5.51,0.15,399.0,39.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,20.0,Imported from Sorftime; ASIN B0GFD8R98T; parent B0D2ZPD9V2; brand Motipuns
category:Carports,B0CHVGDCJQ,B0CST3324R,"DWALE 10 x 20 Ft Carport,Replacement Canopy Cover Garage Top Tent Shelter Tarp,Grey with 48 Ball Bungee Cords Waterproof & UV Protected (Only Tarp Cover, Frame Not Include)","['Patio, Lawn & Garden', 'lawn-garden']",US,52.99,14.84,4.24,11.36,0.15,360.0,702.0,4.1,0.55,10000,1.0,20.0,50,25.0,20,85,Imported from Sorftime; ASIN B0CHVGDCJQ; parent B0CST3324R; brand DWALE
category:Carports,B0F9WH6GMF,B0FYNNW93J,"Shintenchi 12x15 FT Metal Carport, Oversized Carport Garage with Enhanced Base, Outdoor Galvanized Car Shelter, Heavy Duty Carports Canopy, for Car, Boats and Tractors","['Patio, Lawn & Garden', 'lawn-garden']",US,19.99,5.6,1.6,3.6,0.15,231.0,135.0,4.0,0.55,10000,1.0,20.0,50,25.0,20,85,Imported from Sorftime; ASIN B0F9WH6GMF; parent B0FYNNW93J; brand Shintenchi
category:Storage Sheds,B0D9D5GR6B,B0GZ8X98XT,"Bike Storage Tent Sheds - Outdoor Storage Waterproof, Upgraded 6.56x4.92x5.58ft Bicycle Shed Tent, Portable Bike Covers Shelter with Carry Bag for Motorcycle, Garden Tool - Medium","['Patio, Lawn & Garden', 'lawn-garden']",US,59.99,16.8,4.8,10.22,0.15,1038.0,472.0,4.2,0.55,10000,1.0,20.0,50,25.0,20,65,Imported from Sorftime; ASIN B0D9D5GR6B; parent B0GZ8X98XT; brand Dikutar
category:Storage Sheds,B0FLDYX6FN,B0FLDYNLWP,"ToLanbbt Outdoor Storage Shed Floor Mat, 8.2 x 6 FT Waterproof Carport Mat, Washable Furniture Pad with Non Slip Backing for Dust, Oil, Protection, Storage Shed Not Included","['Patio, Lawn & Garden', 'lawn-garden']",US,28.97,8.11,2.32,9.18,0.15,738.0,88.0,4.4,0.55,10000,1.0,20.0,50,25.0,20,85,Imported from Sorftime; ASIN B0FLDYX6FN; parent B0FLDYNLWP; brand ToLanbbt
