form,match_quality,title,unit_price_cny,product_id,url,selected_for_benchmark,note
adhesive_mesh_pocket,exact,"跨境新品自粘存储网袋免打孔自粘收纳网袋海洋工具袋储物袋尼龙款",11.5,1051804332150,https://detail.1688.com/offer/1051804332150.html,true,同形态海洋自粘网袋
adhesive_mesh_pocket,exact,"跨境新品自粘存储网袋 海洋收纳工具袋 易于安装和拆卸保持整洁",11.5,1049183863144,https://detail.1688.com/offer/1049183863144.html,true,同形态海洋自粘网袋
adhesive_mesh_pocket,exact,"自粘特斯林网船用收纳袋 带反光条 适用于船舱甲板",13,1063198481784,https://detail.1688.com/offer/1063198481784.html,true,同形态船用网袋
adhesive_mesh_pocket,exact,"亚马逊新品自粘储物网袋海洋收纳工具袋",16,909709054960,https://detail.1688.com/offer/909709054960.html,true,同形态海洋自粘网袋
clamp_on_cup_holder,partial,"家用汽车车载水杯饮料瓶支架适用于海洋游艇卡车房车",5.22,727863862053,https://detail.1688.com/offer/727863862053.html,true,单只固定杯架但不含目标夹具
clamp_on_cup_holder,partial,"汽车车载水杯架船舶房车游艇改装铁艺杯架",5.5,737968720343,https://detail.1688.com/offer/737968720343.html,true,单只船用杯架但不含目标夹具
clamp_on_cup_holder,partial,"加大号车用杯架可折叠伸缩杯托房车船舶游艇",6,691854449064,https://detail.1688.com/offer/691854449064.html,true,单只加大杯架但不含目标夹具
clamp_on_cup_holder,partial,"不锈钢游艇配件茶杯座船用五金茶杯座",13.9,631702802044,https://detail.1688.com/offer/631702802044.html,true,单只不锈钢船用杯架
multi_mount_caddy,partial,"游艇船舶海钓收纳包钓鱼鱼饵渔具装备工具箱多功能储物盒",18.8,717599598861,https://detail.1688.com/offer/717599598861.html,true,以图搜款接近收纳盒主体但不含三套底座
multi_mount_caddy,partial,"车载多功能手机置物盒汽车钥匙收纳水杯架",13,989356999772,https://detail.1688.com/offer/989356999772.html,true,接近 caddy 主体但不含海用安装系统
boat_trash_can,exact,"KOETSU科特苏游艇垃圾桶户外环保袋船用配件船包",30,862442335971,https://detail.1688.com/offer/862442335971.html,true,同形态船用垃圾袋
boat_trash_can,exact,"亚马逊热销便携式船用垃圾桶 可重复使用 10-13加仑",33,1031349830269,https://detail.1688.com/offer/1031349830269.html,true,同形态 10-13 加仑
boat_trash_can,exact,"跨境热卖船用垃圾袋 可折叠船用抽绳式垃圾袋",35,741546148932,https://detail.1688.com/offer/741546148932.html,true,同形态船用垃圾袋
boat_trash_can,exact,"防水船用垃圾桶便携式可重复使用轮船垃圾收纳包",55,944996466596,https://detail.1688.com/offer/944996466596.html,true,同形态防水高端款
boat_trash_can,exact,"跨境定制船用垃圾袋垃圾收纳袋游艇皮划艇",56.3,1004523383769,https://detail.1688.com/offer/1004523383769.html,true,同形态定制款
boat_trash_can,exact,"游艇垃圾袋便携式旅游垃圾包 Boat Trash Can",60,818765707146,https://detail.1688.com/offer/818765707146.html,true,同形态高端款
magnetic_tool_holder,partial,"纳瑞斯跨境磁力收纳条五金工具架",8.9,825353500539,https://detail.1688.com/offer/825353500539.html,true,同功能但不是海用密封 N52 款
magnetic_tool_holder,partial,"强磁工具收纳架多功能螺丝刀收纳架",20,910754400850,https://detail.1688.com/offer/910754400850.html,true,同功能但不是海用密封款
t_top_life_jacket,exact,"船用救生衣T型储物袋 防水船用600D面料适用于4至6件II型救生衣",65.9,1017416419515,https://detail.1688.com/offer/1017416419515.html,true,同形态 T-top 救生衣袋
hard_storage_other,partial,"船用甲板盖ABS白色水仓盖游艇检查孔舱口盖",5.99,846184076438,https://detail.1688.com/offer/846184076438.html,true,圆形小舱盖并非 270x375 矩形款
hard_storage_other,partial,"ABS白色游艇检查孔圆形甲板舱盖",6.8,609764029231,https://detail.1688.com/offer/609764029231.html,true,圆形小舱盖并非矩形款
hard_storage_other,partial,"游艇检查孔圆形甲板舱盖手孔盖",6.8,576775867362,https://detail.1688.com/offer/576775867362.html,true,圆形小舱盖并非矩形款
hard_storage_other,partial,"甲板盖ABS游艇房车舱盖检查孔",9.8,876612245108,https://detail.1688.com/offer/876612245108.html,true,小舱盖参考价
hard_storage_other,unpriced,"船用方甲板盖手孔盖玻璃钢船储物箱盖460510舱盖",,550491210662,https://detail.1688.com/offer/550491210662.html,false,矩形大号接近款无公开报价
other_soft_bag_cover,partial,"新款游泳包网眼抽绳背包带湿袋沙滩背包",14.5,859635786266,https://detail.1688.com/offer/859635786266.html,true,接近网眼软包但不是重型船用 tote
other_soft_bag_cover,partial,"工厂直销渔具包多功能防水鱼杆包",26,775044561734,https://detail.1688.com/offer/775044561734.html,true,接近防水重型软包
other_soft_bag_cover,partial,"野营者鱼护包钓鱼手提袋防水渔具包",8,819680206970,https://detail.1688.com/offer/819680206970.html,true,接近防水软包
other_soft_bag_cover,partial,"跨境户外V型游艇防尘罩防晒防雨船罩420D",64,918405566466,https://detail.1688.com/offer/918405566466.html,true,仅适用于罩类而非 tote
battery_box,no_match,"未找到可与 Attwood Group 24 电池箱直接比价的有效同款",,,,false,FBA 费已高于售价无需依赖采购价即可淘汰
