keyword,search_volume,rank,show_share,clicks_90d,top3_asins,image_asin_count
swiffer duster refills,429314,0,0,0,,0
swiffer duster,262788,0,0,0,,0
swiffer,552884,0,0,0,,0
duster,280332,0,0,0,,0
duster refills,99857,0,0,0,,0
swiffer dusters,77384,0,0,0,,0
swee,95423,0,0,0,,0
swiffer duster kit,80693,0,0,0,,0
swiffer refills,54645,0,0,0,,0
swiffer duster refill,26835,0,0,0,,0
dusters,45339,0,0,0,,0
swiffer dusters refills,24081,0,0,0,,0
plumeros para limpieza de polvo,26102,0,0,0,,0
swiffer heavy duty duster refills,34572,0,0,0,,0
swiffer duster refills only,21714,0,0,0,,0
dry swiffer pads refills,25737,0,0,0,,0
swiffer refill,30651,0,0,0,,0
swifter duster,19584,0,0,0,,0
swi,26000,0,0,0,,0
swiffer hair magnet refills,24378,0,0,0,,0
