source_strategy,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Self-Stick Note Pad Holders,B0GF7L236Y,B0D1R58B5D,Motipuns 36 Pcs CNA Week Appreciation Gifts Bulk Colorful Sticky Notes Dispenser End of School Year Gifts Office Team Work Sticky Notes OPP Bags Set for Nurse Teacher Coworker Staff CNA Week,"['Office Products', 'office-products']",US,25.79,7.22,2.06,6.53,0.15,676.0,47.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0GF7L236Y; parent B0D1R58B5D; brand Motipuns,https://www.amazon.com/dp/B0GF7L236Y,45.0,Reject,6.11,0.237,4131.37,87.3,59.3,11.2,27.0,73.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Letter & File Organizers,B0GHYMYDD4,B0GWVFHZBX,"Fireproof Document Organizer with Lock, Rigid EVA File Box with 13-Pocket Accordion Folder for Important Documents & Tablets under 11', Lightweight Safe Storage for Home, Office & Travel (Small Size)","['Office Products', 'office-products']",US,33.99,9.52,2.72,7.21,0.15,895.0,88.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0GHYMYDD4; parent B0GWVFHZBX; brand IPYIPY,https://www.amazon.com/dp/B0GHYMYDD4,45.0,Reject,9.44,0.2778,8450.14,87.3,54.3,32.6,22.0,78.0,gross margin below 35%,,,,,,,,,,,,,,
category:Outdoor Trash Cans,B0DNPTGDGX,B0DRW1TTQZ,"Kopuncare Dog Poop Trash Can Outside, 5L/1.3Gal Metal Dog Waste Trash Can with Lid, Foot Pedal, Pet Waste Container with 40 Bags, Poop Bucket with Lid Soft Close for Pet, Black","['Home & Kitchen', 'home-garden']",US,35.19,9.85,2.82,9.56,0.15,1195.0,334.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0DNPTGDGX; parent B0DRW1TTQZ; brand Kopuncare,https://www.amazon.com/dp/B0DNPTGDGX,45.0,Reject,7.68,0.2183,9179.39,87.3,40.8,25.4,27.0,73.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Covers,B0CM5YKV5D,B0DBYQ372C,"420D Riding Lawn Mower Cover, Waterproof Tractor Cover Heavy Duty Fits Decks up to 54',Universal fit for John Deere, EGO, Toro, Craftsman More -72'L x 54'W x 46'H-Black","['Patio, Lawn & Garden', 'lawn-garden']",US,42.99,12.04,3.44,7.93,0.15,547.0,663.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0CM5YKV5D; parent B0DBYQ372C; brand LI LIBZAKI,https://www.amazon.com/dp/B0CM5YKV5D,45.0,Reject,13.13,0.3055,7182.93,87.3,24.3,41.3,27.0,73.0,gross margin below 35%; review count above 600,,,,,,,,,,,,,,
category:Belts,B0DYZS8LNV,B0GYRV3CYJ,"5/8“ X 178“ Deck Replacement Belt for Toro 133-7076 TimeCutter HD X5450, XS5450, X5450, ZX5400, 74865, 74867, 74876, 74888, 75202 and 75212 with 54“ Decks; Hustler 602744; Ferris 5103616 5103616YP","['Patio, Lawn & Garden', 'lawn-garden']",US,19.99,5.6,1.6,3.6,0.15,1389.0,0.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0DYZS8LNV; parent B0GYRV3CYJ; brand C-YONG,https://www.amazon.com/dp/B0DYZS8LNV,45.0,Reject,6.19,0.3097,8599.99,87.3,68.3,30.3,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Belts,B0FX961NFC,B0FX961NFC,"139-2399 Mower Deck Belt, Traction Drive Cogged Belt Fit for Toro TimeCutter & Exmark Quest 74683 74685 74687 74690 74691QZE725GKC42200 QZE725GKC50200 Lawn Mowers","['Patio, Lawn & Garden', 'lawn-garden']",US,19.99,5.6,1.6,4.18,0.15,1268.0,5.0,4.0,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FX961NFC; parent B0FX961NFC; brand GEATaaT,https://www.amazon.com/dp/B0FX961NFC,45.0,Reject,5.61,0.2807,7115.38,87.3,70.3,22.8,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Belts,B0FC6DDX3M,B0FF4PRFQX,954-05022A Mower Deck Belt for Cub Cadet XT1 LT46 XT2 LX46 954-05022 Craftsman T240 MTD Troy Bilt Super Bronco XP 46 490-501-C063 490-501-M063 / Aramid Cord / 108.3 inches,"['Patio, Lawn & Garden', 'lawn-garden']",US,24.69,6.91,1.98,5.36,0.15,1103.0,243.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FC6DDX3M; parent B0FF4PRFQX; brand RTPOWER,https://www.amazon.com/dp/B0FC6DDX3M,45.0,Reject,6.74,0.2728,7430.36,87.3,40.8,24.9,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Belts,B0D9QZBYTV,B0GTYKY33J,"Upgraded for GX20072 John Deere 42 Inch Deck Belt, D105 D110 D130 S100 L110 L100 L111 LA105 LA115 LA125 S110 S130 E100 E110 L108 Lawn Mower, GY20570 V-Belt, Zero-Stretch, Extra Long Life /104 Inch","['Patio, Lawn & Garden', 'lawn-garden']",US,21.99,6.16,1.76,4.47,0.15,920.0,92.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0D9QZBYTV; parent B0GTYKY33J; brand jiuoici,https://www.amazon.com/dp/B0D9QZBYTV,45.0,Reject,6.3,0.2866,5797.38,87.3,54.3,21.2,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Deck Parts,B0DWTD2X46,B0GSW7Y5LM,"POSEAGLE 2 Pack 490-900-M061 Deck Wash Kit Replaces 490-900-0025 Including 921-04041 Lawn Mower Deck Wash Adapter Nozzle, 737-04003D Deck Wash Nozzle(Stainless Steel), 731-07487 Deck Wash Nozzle","['Patio, Lawn & Garden', 'lawn-garden']",US,19.99,5.6,1.6,3.69,0.15,660.0,22.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0DWTD2X46; parent B0GSW7Y5LM; brand POSEAGLE,https://www.amazon.com/dp/B0DWTD2X46,45.0,Reject,6.1,0.3052,4026.99,87.3,59.3,18.2,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Self-Stick Note Pad Holders,B0GFD8R98T,B0D2ZPD9V2,Motipuns 36 Pcs End of Year Teacher Gift Sticky Note Holder Thank You Gift Sticky Note Pad Holder OPP Bags for Graduation Coworker Nurse Teacher Employee Appreciation Gifts (Pastel Color),"['Office Products', 'office-products']",US,24.79,6.94,1.98,5.51,0.15,399.0,39.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0GFD8R98T; parent B0D2ZPD9V2; brand Motipuns,https://www.amazon.com/dp/B0GFD8R98T,44.8,Reject,6.64,0.2679,2649.96,70.5,59.3,10.4,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Outdoor Trash Cans,B0CYPT1MBK,B0FFH1XS79,"Pupzle Small Dog Poop Trash Can Outside, 1.3 Gal Metal Dog Waste Trash Can, Small Poop Bucket Outdoor with Lid, Poo Container Bin Waterproof Backyard Odor Control, 30 Bags (Black)","['Home & Kitchen', 'home-garden']",US,38.65,10.82,3.09,9.65,0.15,841.0,528.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0CYPT1MBK; parent B0FFH1XS79; brand Pupzle,https://www.amazon.com/dp/B0CYPT1MBK,43.7,Reject,9.29,0.2404,7814.99,87.3,28.3,28.1,27.0,73.0,gross margin below 35%,,,,,,,,,,,,,,
category:Cooling Bins,B0FP1CQL5Q,B0G52GPMTH,"Wood Pellet Storage Container 20-25lbs, Airtight Bin with Locking Lid & Clear Window, Collapsible Pellet Bucket with Wheels, Scoop & Labels, Gray","['Patio, Lawn & Garden', 'lawn-garden']",US,29.99,8.4,2.4,8.89,0.15,384.0,39.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0FP1CQL5Q; parent B0G52GPMTH; brand Leafory,https://www.amazon.com/dp/B0FP1CQL5Q,43.3,Reject,5.8,0.1934,2227.78,68.0,63.3,5.1,27.0,73.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Belts,B07M9ZMWF4,B07M9ZMWF4,Exmark/Toro 30“ Genuine OEM PTO Belt Part# 121-5765,"['Patio, Lawn & Garden', 'lawn-garden']",US,17.95,5.03,1.44,3.35,0.15,1284.0,621.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B07M9ZMWF4; parent B07M9ZMWF4; brand Exmark,https://www.amazon.com/dp/B07M9ZMWF4,41.9,Reject,5.44,0.3029,6981.75,87.3,24.3,25.0,22.0,78.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
