source_strategy,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,notes
light_small_general,B0DPDBGVJ1,B0GWQGTLKF,"Garden Netting Kit for Raised Beds, 10 x30FT Ultra Fine Mesh Netting＆ 6 Sets of 8FT Fiberglass Garden Hoops, Row Cover Insect Netting for Vegetable Plant Fruit Flowers Protection","['Patio, Lawn & Garden', 'lawn-garden']",US,32.99,9.24,2.64,8.02,0.15,3000.0,354.0,4.1,0.55,10000,1.0,20.0,50,25.0,20,45,Imported from Sorftime; ASIN B0DPDBGVJ1; parent B0GWQGTLKF; brand Monirsen
light_small_general,B0G6YBHJMB,B0GXB17N3Y,"Solar Rope Lights, 2 Packs Total 66ft 200LED Solar String Lights, 8 Modes Waterproof Solar Powered Outdoor Light, Flexible Clear Tube Light for Garden Backyard Patio Deck Porch Tree Xmas Decor - Red","['Home & Kitchen', 'home-garden']",US,19.79,5.54,1.58,5.11,0.15,3000.0,0.0,4.3,0.55,10000,1.0,20.0,50,25.0,20,20.0,Imported from Sorftime; ASIN B0G6YBHJMB; parent B0GXB17N3Y; brand Jnaurb
light_small_general,B0F5VLY117,B0FJ65FTB1,"Black Curtain Rods for Windows 48-90Inch(4-7.5ft) Heavy Duty Wrap Around Blackout Curtain Rods,Adjustable Room Darkening Drapery Rod for Bedroom, Living Room, Sliding Door & Outdoor Patio","['Home & Kitchen', 'home-garden']",US,26.99,7.56,2.16,7.12,0.15,3000.0,109.0,4.5,0.55,10000,1.0,20.0,50,25.0,20,45,Imported from Sorftime; ASIN B0F5VLY117; parent B0FJ65FTB1; brand RBYCOS
light_small_general,B0G2LF4RDX,B0DJNY8BCW,"Hummingbird House, Small Hummingbird Houses for Outside, Wooden Bird House with Bow, String, Cute Gardening Gifts Home Decoration","['Patio, Lawn & Garden', 'lawn-garden']",US,19.99,5.6,1.6,4.9,0.15,3000.0,787.0,4.4,0.55,10000,1.0,20.0,50,25.0,20,20.0,Imported from Sorftime; ASIN B0G2LF4RDX; parent B0DJNY8BCW; brand Fitraho
light_small_general,B0FQJ1DJ9Q,B0FW52G2X2,"Official Tomxcute Cat Water Fountain Replacement Filters - 16 Pack Cat Fountain Filter for 3.2L/108oz & 4L/135oz Pet Water Fountain, Three-Layer Filtration Replacement Filters(8+8 Pack), 4 Month Set","['Pet Supplies', 'pet-supplies']",US,16.65,4.66,1.33,4.19,0.15,2999.0,6.0,4.4,0.55,10000,1.0,20.0,50,25.0,20,20.0,Imported from Sorftime; ASIN B0FQJ1DJ9Q; parent B0FW52G2X2; brand tomxcute
light_small_general,B0DMCWNFPY,B0D813BPQ1,Metal Arch Backdrop Stand 7.2FT+6FT Wedding Arch Backdrop Stand Set of 2 Gold Arch Backdrop Stand for Valentines Day Party Wedding Ceremony Baby Shower Birthday Floral Balloon Decration,"['', '']",US,40.99,11.48,3.28,10.05,0.15,2998.0,746.0,4.6,0.55,10000,1.0,70,50,25.0,20,65,Imported from Sorftime; ASIN B0DMCWNFPY; parent B0D813BPQ1; brand Nisoger
light_small_general,B00U6DJCR8,B0DJRY5QZR,Meowijuana | Dried Catnip Buds Jar | Premium Organic Catnip | Grown in North America | Perfect for Cat Toys | Fresh Catnip for Extended Playtime | Elevate Your Cat’s Enjoyment,"['Pet Supplies', 'pet-supplies']",US,19.99,5.6,1.6,4.46,0.15,2997.0,1180.0,4.1,0.55,10000,1.0,20.0,50,25.0,20,20.0,Imported from Sorftime; ASIN B00U6DJCR8; parent B0DJRY5QZR; brand Meowijuana
light_small_general,B0D69VGY9G,B0DN1FCM4D,"Flea and Tick Collar for Dogs 4 Pack, 32 Months Prevention, Waterproof, Adjustable for Small Medium Large Dogs Puppies (Black)","['Pet Supplies', 'pet-supplies']",US,18.19,5.09,1.46,4.17,0.15,2996.0,764.0,4.2,0.55,10000,1.0,20.0,50,25.0,20,20.0,Imported from Sorftime; ASIN B0D69VGY9G; parent B0DN1FCM4D; brand VICSOM
light_small_general,B0CQT8V1T5,B0CQSZMYXD,"WRENSONGE King Size Quilt-3 Pieces Lightweight Bedspreads Olive Green King Quilt Bedding Set for All Seasons, Soft Summer Coverlet with 2 Pillow Shams Suitable for Bed, Couch, Quilt Blanket","['Home & Kitchen', 'home-garden']",US,48.44,13.56,3.88,9.65,0.15,2995.0,589.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,65,Imported from Sorftime; ASIN B0CQT8V1T5; parent B0CQSZMYXD; brand WRENSONGE
light_small_general,B0GF1WZVS3,B0GV2BG8PB,"HICC PET Dog Toothbrush, Anti-Slip Dog Tooth Brushing Kit, Dog Finger Toothbrush for Plaque and Tartar Cleaning, Dog Teeth Cleaning for Small & Large Pets, Safer & Softer Liquid Silicone, 4-Pack","['Pet Supplies', 'pet-supplies']",US,19.99,5.6,1.6,4.11,0.15,2994.0,51.0,4.4,0.55,10000,1.0,20.0,50,25.0,20,20.0,Imported from Sorftime; ASIN B0GF1WZVS3; parent B0GV2BG8PB; brand HICC PET
