keyword,search_volume,rank,show_share,clicks_90d,top3_asins,image_asin_count
beeswax bread bag,153956.0,7700.0,11.67,139209.0,B0F1CQLJS5; B0FB84KH2X; B0GBX8GD6Q,10
bread bags,164291.0,6022.0,9.03,173032.0,B0CW1ZBP6P; B0FXMF5CHN; B0F3P1TCHG,10
sourdough bread bags,98192.0,14285.0,7.39,95756.0,B0CW1ZBP6P; B0FXMF5CHN; B0G2S1B7GR,10
bread bags for homemade bread,102268.0,11585.0,7.23,112091.0,B0CW1ZBP6P; B0FXMF5CHN; B0F1CQLJS5,10
bread bag,76115.0,26965.0,5.62,41988.0,B0F1CQLJS5; B0CW1ZBP6P; B0FB84KH2X,10
sourdough bread baking supplies,110076.0,11144.0,4.96,96523.0,B0DPJSTLH5; B0D3D3339P; B0FPLTFQBW,10
sourdough,171607.0,4865.0,4.25,169070.0,B0DPXKXV31; B0CP61GH31; B0FC6Q1MPP,10
beeswax bread bags for sourdough,47473.0,52638.0,3.57,37196.0,B0F1CQLJS5; B0F3V3S7WG; B00GK3QTCE,10
white bread,137570.0,7595.0,2.76,103564.0,B00HFEL0M6; B0DPXLPQJF; B079Q16NWY,10
beeswax,164395.0,6101.0,2.62,108039.0,B0D3VMF4BK; B07NMNDT1W; B01LWX2IO1,10
beeswax wraps for food,30372.0,93152.0,2.17,24909.0,B09WRHLCFG; B08BWVXP6Y; B0F3QLYWLS,10
beeswax bread bags,25343.0,66760.0,2.11,14647.0,B0F1CQLJS5; B0FL1GRFXZ; B0FF31VY9Q,10
bees wax bread bag,24534.0,133805.0,1.93,14338.0,B0F1CQLJS5; B00GK3QTCE; B0FB84KH2X,10
bread bags for homemade bread sourdough,23175.0,108017.0,1.65,12513.0,B0FXMF5CHN; B0CW1ZBP6P; B0F1CQLJS5,10
lorine beeswax bread bag,21434.0,142489.0,1.58,11193.0,B0GDFK7NQT; B0F3HKCFZS; B00GK3QTCE,10
sourdough bags,27150.0,82221.0,1.46,18272.0,B0FXMF5CHN; B0CW1ZBP6P; B0F3P1TCHG,10
sourdough kit,65915.0,31640.0,1.42,42916.0,B0FTMVFHZ3; B0D3D3339P; B0DPJSTLH5,10
bread storage,31940.0,55426.0,1.38,26610.0,B0DKC1HCQQ; B0CN95MYH5; B0C3VFDJ3P,10
organic bread,72585.0,27746.0,1.34,39778.0,B0DPXLPQJF; B0DPXKXV31; B09CFYR6CT,10
reusable bread bag,14051.0,231385.0,1.12,7277.0,B0F8BDJSF9; B0F1CQLJS5; B0FB84KH2X,10
